unit,label,aggregation,selection_mode,nominal_budget,threshold,units,failures,failure_prevalence,reviewed_units,review_fraction,caught_failures,failure_recall,review_ppv,failure_recall_lift_over_random,false_referrals,safe_unit_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_units,remaining_failure_rate_unreviewed,auroc,auprc
frame,label_fp_persistent_min5,none,frozen_sun_validation_threshold,0.1,0.07180122,149685,111042,0.7418378595049604,18314,0.12235026889801917,17951,0.1616595522414942,0.9801790979578464,1.3212848136544753,363,0.009393680614859094,93091,0.8383404477585058,0.6219126833016,0.7086114895981609,0.9093526790852018,0.955114675760568
frame,label_fp_persistent_min5,none,exact_rank,0.2,,149685,111042,0.7418378595049604,29937,0.2,29194,0.2629095297274905,0.9751812138824866,1.3145476486374523,743,0.01922728566622674,81848,0.7370904702725095,0.5468016167284631,0.6835020209105789,0.9093526790852018,0.955114675760568
frame,label_fp_persistent_min5,none,frozen_sun_validation_threshold,0.2,0.04186127,149685,111042,0.7418378595049604,35256,0.23553462270768613,34286,0.30876605248464545,0.9724869525754481,1.3109157750784024,970,0.025101570789017418,76756,0.6912339475153545,0.5127835120419548,0.6707740170760909,0.9093526790852018,0.955114675760568
frame,label_negative_reliability_failure,none,exact_rank,0.01,,149685,121099,0.809025620469653,1497,0.01000100210441928,1497,0.012361786637379335,1.0,1.2360547981403645,0,0.0,119602,0.9876382133626207,0.7990246183652336,0.807096391070802,0.983411043110233,0.9957632392556038
frame,label_negative_reliability_failure,none,frozen_sun_validation_threshold,0.01,0.13528396,149685,121099,0.809025620469653,1580,0.010555499883087818,1580,0.013047176277260753,1.0,1.2360547981403645,0,0.0,119519,0.9869528237227393,0.7984701205865651,0.8069882853381047,0.983411043110233,0.9957632392556038
frame,label_negative_reliability_failure,none,exact_rank,0.05,,149685,121099,0.809025620469653,7485,0.0500050105220964,7485,0.06180893318689667,1.0,1.2360547981403645,0,0.0,113614,0.9381910668131034,0.7590206099475565,0.7989732770745429,0.983411043110233,0.9957632392556038
frame,label_negative_reliability_failure,none,frozen_sun_validation_threshold,0.05,0.09579211,149685,121099,0.809025620469653,8728,0.05830911580986739,8728,0.07207326237210877,1.0,1.2360547981403645,0,0.0,112371,0.9279267376278912,0.7507165046597856,0.797200564711224,0.983411043110233,0.9957632392556038
frame,label_negative_reliability_failure,none,exact_rank,0.1,,149685,121099,0.809025620469653,14969,0.10000334034806427,14969,0.12360960866728875,1.0,1.2360547981403645,0,0.0,106130,0.8763903913327112,0.7090222801215886,0.7878054574066926,0.983411043110233,0.9957632392556038
frame,label_negative_reliability_failure,none,frozen_sun_validation_threshold,0.1,0.07180122,149685,121099,0.809025620469653,18314,0.12235026889801917,18314,0.1512316369251604,1.0,1.2360547981403645,0,0.0,102785,0.8487683630748396,0.6866753515716337,0.7824025089251052,0.983411043110233,0.9957632392556038
frame,label_negative_reliability_failure,none,exact_rank,0.2,,149685,121099,0.809025620469653,29937,0.2,29937,0.2472109596280729,1.0,1.2360547981403645,0,0.0,91162,0.7527890403719271,0.6090256204696529,0.7612820255870661,0.983411043110233,0.9957632392556038
frame,label_negative_reliability_failure,none,frozen_sun_validation_threshold,0.2,0.04186127,149685,121099,0.809025620469653,35256,0.23553462270768613,35256,0.2911337005260159,1.0,1.2360547981403645,0,0.0,85843,0.708866299473984,0.5734909977619668,0.7501857046727666,0.983411043110233,0.9957632392556038
