hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_units,exact_p_value,p_value_bh
H0173,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,false_positive_frames,4,0.5,0.6396148555708391
H0174,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,false_positive_frames,4,0.125,0.26182432432432434
H0175,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,false_positive_run_count,8,0.03125,0.11487154150197629
H0176,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,false_positive_run_count,8,0.03125,0.11487154150197629
H0177,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,false_positive_run_count,4,0.5,0.6396148555708391
H0178,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,false_positive_run_count,4,0.125,0.26182432432432434
H0179,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,prediction_fragment_count,8,0.40625,0.6006558028616852
H0180,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,prediction_fragment_count,8,0.40625,0.6006558028616852
H0181,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,prediction_fragment_count,4,0.75,0.8908045977011494
H0182,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,prediction_fragment_count,4,1.0,1.0
H0183,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,prediction_positive_frames,8,0.015625,0.07451923076923077
H0184,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,prediction_positive_frames,8,0.015625,0.07451923076923077
H0185,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,prediction_positive_frames,4,0.125,0.26182432432432434
H0186,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,prediction_positive_frames,4,0.25,0.41517857142857145
H0187,absence_and_run_length,identity,frame_sequence_mean,all_frames,dice,8,0.53125,0.6758720930232558
H0188,absence_and_run_length,identity,frame_sequence_mean,target_positive_frames,dice,8,0.03125,0.11487154150197629
H0189,absence_and_run_length,identity,frame_sequence_mean,target_empty_frames,dice,8,0.03125,0.11487154150197629
H0190,absence_and_run_length,identity,frame_sequence_mean,positive_sequence_frames,dice,8,0.53125,0.6758720930232558
H0191,absence_and_run_length,identity,frame_sequence_mean,low_motion_frames,dice,8,0.078125,0.23362138263665594
H0192,absence_and_run_length,identity,frame_sequence_mean,high_motion_frames,dice,8,0.125,0.26182432432432434
H0193,absence_and_run_length,identity,frame_sequence_mean,all_frames,iou,8,0.4375,0.6298374613003096
H0194,absence_and_run_length,identity,frame_sequence_mean,target_positive_frames,iou,8,0.03125,0.11487154150197629
H0195,absence_and_run_length,identity,frame_sequence_mean,target_empty_frames,iou,8,0.03125,0.11487154150197629
H0196,absence_and_run_length,identity,frame_sequence_mean,positive_sequence_frames,iou,8,0.4375,0.6298374613003096
H0197,absence_and_run_length,identity,frame_sequence_mean,low_motion_frames,iou,8,0.0625,0.19246688741721854
H0198,absence_and_run_length,identity,frame_sequence_mean,high_motion_frames,iou,8,0.125,0.26182432432432434
H0199,absence_and_run_length,identity,frame_sequence_mean,all_frames,boundary_iou,8,0.296875,0.4793294270833333
H0200,absence_and_run_length,identity,frame_sequence_mean,target_positive_frames,boundary_iou,8,0.03125,0.11487154150197629
H0201,absence_and_run_length,identity,frame_sequence_mean,target_empty_frames,boundary_iou,8,0.03125,0.11487154150197629
H0202,absence_and_run_length,identity,frame_sequence_mean,positive_sequence_frames,boundary_iou,8,0.296875,0.4793294270833333
H0203,absence_and_run_length,identity,frame_sequence_mean,low_motion_frames,boundary_iou,8,0.03125,0.11487154150197629
H0204,absence_and_run_length,identity,frame_sequence_mean,high_motion_frames,boundary_iou,8,0.125,0.26182432432432434
H0205,absence_and_run_length,identity,frame_sequence_mean,all_frames,mae,8,0.484375,0.6396148555708391
H0206,absence_and_run_length,identity,frame_sequence_mean,target_positive_frames,mae,8,0.3671875,0.5588942307692307
H0207,absence_and_run_length,identity,frame_sequence_mean,target_empty_frames,mae,8,0.015625,0.07451923076923077
H0208,absence_and_run_length,identity,frame_sequence_mean,positive_sequence_frames,mae,8,0.484375,0.6396148555708391
H0209,absence_and_run_length,identity,frame_sequence_mean,low_motion_frames,mae,8,0.15625,0.3250838926174497
H0210,absence_and_run_length,identity,frame_sequence_mean,high_motion_frames,mae,8,0.6171875,0.7673587901069518
H0211,absence_and_run_length,identity,frame_sequence_mean,all_frames,false_positive_fraction,8,0.0078125,0.04403409090909091
H0212,absence_and_run_length,identity,frame_sequence_mean,target_positive_frames,false_positive_fraction,8,0.03125,0.11487154150197629
H0213,absence_and_run_length,identity,frame_sequence_mean,target_empty_frames,false_positive_fraction,8,0.03125,0.11487154150197629
H0214,absence_and_run_length,identity,frame_sequence_mean,positive_sequence_frames,false_positive_fraction,8,0.0078125,0.04403409090909091
H0215,absence_and_run_length,identity,frame_sequence_mean,low_motion_frames,false_positive_fraction,8,0.015625,0.07451923076923077
H0216,absence_and_run_length,identity,frame_sequence_mean,high_motion_frames,false_positive_fraction,8,0.0625,0.19246688741721854
H0217,absence_and_run_length,identity,sequence,all_sequences,mean_dice,8,0.53125,0.6758720930232558
H0218,absence_and_run_length,identity,sequence,positive_sequences,mean_dice,8,0.53125,0.6758720930232558
H0219,absence_and_run_length,identity,sequence,low_motion_sequences,mean_dice,4,0.875,1.0
H0220,absence_and_run_length,identity,sequence,high_motion_sequences,mean_dice,4,0.75,0.8908045977011494
H0221,absence_and_run_length,identity,sequence,all_sequences,mean_iou,8,0.4375,0.6298374613003096
H0222,absence_and_run_length,identity,sequence,positive_sequences,mean_iou,8,0.4375,0.6298374613003096
H0223,absence_and_run_length,identity,sequence,low_motion_sequences,mean_iou,4,0.75,0.8908045977011494
H0224,absence_and_run_length,identity,sequence,high_motion_sequences,mean_iou,4,0.75,0.8908045977011494
H0225,absence_and_run_length,identity,sequence,all_sequences,mean_boundary_iou,8,0.296875,0.4793294270833333
H0226,absence_and_run_length,identity,sequence,positive_sequences,mean_boundary_iou,8,0.296875,0.4793294270833333
H0227,absence_and_run_length,identity,sequence,low_motion_sequences,mean_boundary_iou,4,0.75,0.8908045977011494
