hypothesis_id,model_a,model_b,scope,stratum,metric,iterations,seed,sequence_units,mean_a,mean_b,mean_delta,ci95_lower,ci95_upper,p_value,p_method,p_sign_assignments,p_value_bh
H0072,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,iou,10000,0,8,0.659742727942429,0.5468012272160856,0.11294150072634351,0.06252460416446584,0.15729714793824884,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0073,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,iou,10000,0,8,0.6536502692252344,0.6024451203907033,0.051205148834531096,0.013127645808294832,0.08897469606652637,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0074,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,iou,10000,0,8,0.6488658464753185,0.4455404029471829,0.20332544352813559,0.12085627002183277,0.27784273242947427,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0075,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,boundary_iou,10000,0,8,0.5424876211131175,0.3729493790956683,0.16953824201744924,0.12004877012048061,0.21897038998143337,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0076,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,boundary_iou,10000,0,8,0.4893213964456823,0.31013236607570027,0.17918903036998204,0.1253987593636885,0.23067613927804706,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0077,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,boundary_iou,10000,0,8,0.706453634085213,0.46605424852453714,0.2403993855606759,0.07142857142857142,0.47851862519201194,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0078,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,boundary_iou,10000,0,8,0.5424876211131175,0.3729493790956683,0.16953824201744924,0.12016490368090457,0.2182915986432601,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0079,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,boundary_iou,10000,0,8,0.5770033137417246,0.48134475849522157,0.0956585552465031,0.04445555862294896,0.142381852920226,0.0234375,exact_two_sided_paired_sign_flip,256,0.10330272511848342
H0080,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,boundary_iou,10000,0,8,0.48799596858752864,0.21836454360742152,0.26963142498010717,0.1821558315134843,0.35259093097135064,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0081,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,mae,10000,0,8,0.03589829581333146,0.06801193113286477,-0.032113635319533304,-0.04221459899740228,-0.022596245140719146,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
