slice,dataset,source,task,selection_mode,nominal_budget,threshold,frames,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_recall,review_precision,failure_recall_lift_over_random,precision_lift_over_prevalence,false_referrals,safe_frame_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_frames,remaining_failure_rate_unreviewed,auroc,auprc
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,exact_rank,0.05,,12351,1663,0.1346449680187839,618,0.050036434296818075,257,0.1545399879735418,0.41585760517799353,3.088549177121706,3.0885491771217066,361,0.03377619760479042,1406,0.8454600120264583,0.11383693628046312,0.11983294979971022,0.43117162210455817,0.23370169636881452
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,12351,1663,0.1346449680187839,17,0.0013764067686826977,14,0.00841852074564041,0.8235294117647058,6.1163029252591,6.1163029252591,3,0.000280688622754491,1649,0.9915814792543596,0.1335114565622217,0.13369547592022052,0.43117162210455817,0.23370169636881452
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,exact_rank,0.1,,12351,1663,0.1346449680187839,1236,0.10007286859363615,386,0.23211064341551413,0.3122977346278317,2.319416308110853,2.3194163081108536,850,0.07952844311377245,1277,0.7678893565844859,0.10339243785928265,0.1148897885739991,0.43117162210455817,0.23370169636881452
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,12351,1663,0.1346449680187839,99,0.00801554529997571,71,0.04269392663860493,0.7171717171717171,5.326390787004137,5.3263907870041365,28,0.002619760479041916,1592,0.9573060733613951,0.12889644563193264,0.12993796931113288,0.43117162210455817,0.23370169636881452
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,exact_rank,0.2,,12351,1663,0.1346449680187839,2471,0.20006477208323212,537,0.32291040288635,0.21732092270335895,1.6140292942328243,1.6140292942328243,1934,0.1809505988023952,1126,0.67708959711365,0.09116670714921869,0.11396761133603239,0.43117162210455817,0.23370169636881452
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,sun_val_frozen_threshold,0.2,0.04186127,12351,1663,0.1346449680187839,457,0.037001052546352525,227,0.13650030066145522,0.49671772428884026,3.689092370830707,3.6890923708307075,230,0.02151946107784431,1436,0.8634996993385448,0.11626588940166788,0.120733142761056,0.43117162210455817,0.23370169636881452
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,exact_rank,0.01,,3882,316,0.08140133951571354,39,0.010046367851622875,4,0.012658227848101266,0.10256410256410256,1.2599805258033105,1.2599805258033105,35,0.00981491867638811,312,0.9873417721518988,0.080370942812983,0.08118657298985169,0.44431675387094716,0.10503209441969512
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,3882,316,0.08140133951571354,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,316,1.0,0.08140133951571354,0.08140133951571354,0.44431675387094716,0.10503209441969512
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,exact_rank,0.05,,3882,316,0.08140133951571354,195,0.05023183925811438,31,0.0981012658227848,0.15897435897435896,1.9529698149951313,1.9529698149951316,164,0.045989904655075714,285,0.9018987341772152,0.07341576506955177,0.07729861676159479,0.44431675387094716,0.10503209441969512
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,3882,316,0.08140133951571354,2,0.0005151983513652757,1,0.0031645569620253164,0.5,6.142405063291139,6.1424050632911396,1,0.00028042624789680314,315,0.9968354430379747,0.08114374034003091,0.08118556701030928,0.44431675387094716,0.10503209441969512
