predictor,method,split,frames,positive_frames,auroc,auprc,best_f1,best_f1_threshold,recall_at_top10_val_threshold,precision_at_top10_val_threshold,flagged_fraction_top10_val_threshold
convnextv2_tiny,scalar_edge_density,sunpos_hard_seen,3882,489,0.59529001,0.45078123,0.44472051,0.32835820,0.10429448,0.96226415,0.01365276
convnextv2_tiny,scalar_edge_density,sunpos_hard_unseen,8640,1401,0.64102344,0.46929638,0.44425011,0.30303031,0.09850107,1.00000000,0.01597222
convnextv2_tiny,scalar_edge_density,sunneg_test,7152,6083,0.98931448,0.99819050,0.98928487,0.00000000,0.15370705,1.00000000,0.13073266
convnextv2_tiny,scalar_high_entropy,val,14005,9665,0.87235216,0.94157041,0.86074793,0.00533670,0.14443870,0.99643112,0.10003570
convnextv2_tiny,scalar_high_entropy,sunpos_easy_seen,4719,383,0.62777475,0.26585216,0.36225262,0.03013923,0.21671018,0.49112426,0.03581267
convnextv2_tiny,scalar_high_entropy,sunpos_easy_unseen,12351,1987,0.50405766,0.22807511,0.29882237,0.02599114,0.18520382,0.35937500,0.08290827
convnextv2_tiny,scalar_high_entropy,sunpos_hard_seen,3882,489,0.48745854,0.21552853,0.22759601,0.05085824,0.16768916,0.26623377,0.07934055
convnextv2_tiny,scalar_high_entropy,sunpos_hard_unseen,8640,1401,0.55770827,0.28741199,0.32523367,0.02847139,0.21270521,0.43759178,0.07881944
convnextv2_tiny,scalar_high_entropy,sunneg_test,7152,6083,0.96796198,0.99331127,0.97043818,0.00337815,0.14367911,1.00000000,0.12220358
convnextv2_tiny,scalar_low_foreground_mean,val,14005,9665,0.63351208,0.68987372,0.85247451,-0.94392377,0.03000517,0.18023617,0.11488754
convnextv2_tiny,scalar_low_foreground_mean,sunpos_easy_seen,4719,383,0.93626437,0.71489746,0.62565440,-0.91850877,0.10182768,1.00000000,0.00826446
convnextv2_tiny,scalar_low_foreground_mean,sunpos_easy_unseen,12351,1987,0.94740412,0.83822256,0.74710429,-0.93331504,0.08152994,1.00000000,0.01311635
convnextv2_tiny,scalar_low_foreground_mean,sunpos_hard_seen,3882,489,0.89628442,0.72922552,0.66222221,-0.91133559,0.17791411,1.00000000,0.02241113
convnextv2_tiny,scalar_low_foreground_mean,sunpos_hard_unseen,8640,1401,0.92356598,0.78864001,0.69806951,-0.92501873,0.11920057,1.00000000,0.01932870
convnextv2_tiny,scalar_low_foreground_mean,sunneg_test,7152,6083,0.01068552,0.66724394,0.91922933,-0.97753793,0.02137103,0.10842369,0.16764541
convnextv2_tiny,scalar_low_max_probability,val,14005,9665,0.66342100,0.69837171,0.88302028,-0.99998474,0.01251940,0.08636688,0.10003570
convnextv2_tiny,scalar_low_max_probability,sunpos_easy_seen,4719,383,0.84362174,0.68924022,0.66235870,-0.99978638,0.09138381,1.00000000,0.00741683
convnextv2_tiny,scalar_low_max_probability,sunpos_easy_unseen,12351,1987,0.77993716,0.67008665,0.64041847,-0.99985111,0.06743835,1.00000000,0.01084932
convnextv2_tiny,scalar_low_max_probability,sunpos_hard_seen,3882,489,0.90558482,0.75799389,0.70215178,-0.99982661,0.15541922,1.00000000,0.01957754
convnextv2_tiny,scalar_low_max_probability,sunpos_hard_unseen,8640,1401,0.78300868,0.68098537,0.64149415,-0.99986851,0.10706638,1.00000000,0.01736111
convnextv2_tiny,scalar_low_max_probability,sunneg_test,7152,6083,0.00022298,0.66605850,0.91922933,-1.00000000,0.00427421,0.02420857,0.15016779
convnextv2_tiny,scalar_low_previous_iou,val,14005,9665,0.68038107,0.75576297,0.85673589,-0.77664977,0.34640455,0.70439722,0.33937879
convnextv2_tiny,scalar_low_previous_iou,sunpos_easy_seen,4719,383,0.92649372,0.54311378,0.56957090,-0.47371244,0.25848564,0.67808219,0.03093876
convnextv2_tiny,scalar_low_previous_iou,sunpos_easy_unseen,12351,1987,0.88794450,0.63990654,0.64878547,-0.58823532,0.23452441,0.77666667,0.04857906
convnextv2_tiny,scalar_low_previous_iou,sunpos_hard_seen,3882,489,0.84289741,0.56642873,0.59708190,-0.41610739,0.31697342,0.75980392,0.05255023
convnextv2_tiny,scalar_low_previous_iou,sunpos_hard_unseen,8640,1401,0.86192834,0.64500641,0.62406582,-0.51578945,0.27194861,0.80042017,0.05509259
convnextv2_tiny,scalar_low_previous_iou,sunneg_test,7152,6083,0.17162584,0.74685088,0.91922933,-1.00000000,0.34325169,0.66138739,0.44141499
convnextv2_tiny,scalar_previous_absdiff,val,14005,9665,0.85278684,0.92149236,0.86053115,0.00353654,0.14123125,0.97430407,0.10003570
convnextv2_tiny,scalar_previous_absdiff,sunpos_easy_seen,4719,383,0.79076082,0.34725619,0.41772151,0.02282715,0.19060052,0.60330579,0.02564103
convnextv2_tiny,scalar_previous_absdiff,sunpos_easy_unseen,12351,1987,0.66806415,0.29145308,0.36926803,0.01358937,0.10468042,0.40388350,0.04169703
convnextv2_tiny,scalar_previous_absdiff,sunpos_hard_seen,3882,489,0.62365679,0.20034698,0.28701594,0.01920711,0.05521472,0.29347826,0.02369912
convnextv2_tiny,scalar_previous_absdiff,sunpos_hard_unseen,8640,1401,0.66236863,0.30985106,0.37909555,0.01940926,0.15203426,0.45319149,0.05439815
convnextv2_tiny,scalar_previous_absdiff,sunneg_test,7152,6083,0.83757368,0.95730531,0.93976474,0.00052568,0.13266480,0.97346200,0.11591163
convnextv2_tiny,scalar_previous_area_delta,val,14005,9665,0.82636720,0.90054296,0.85401678,0.00098536,0.13833420,0.95431834,0.10003570
convnextv2_tiny,scalar_previous_area_delta,sunpos_easy_seen,4719,383,0.79812433,0.34279962,0.41402715,0.01555462,0.20365535,0.58208955,0.02839585
convnextv2_tiny,scalar_previous_area_delta,sunpos_easy_unseen,12351,1987,0.67058232,0.30104675,0.37454545,0.00703829,0.11675893,0.43042672,0.04364019
convnextv2_tiny,scalar_previous_area_delta,sunpos_hard_seen,3882,489,0.64384692,0.20722440,0.31288981,0.00492680,0.06339468,0.28440367,0.02807831
convnextv2_tiny,scalar_previous_area_delta,sunpos_hard_unseen,8640,1401,0.66916365,0.32158782,0.39537445,0.00950169,0.14989293,0.47191011,0.05150463
convnextv2_tiny,scalar_previous_area_delta,sunneg_test,7152,6083,0.79412545,0.93881854,0.95488185,0.00000000,0.12049975,0.94948187,0.10794183
convnextv2_tiny,scalar_simple_combo,val,14005,9665,0.68482593,0.75149546,0.87984037,-2.33085728,0.08111743,0.55960029,0.10003570
